整体情况：
两个核：
time per syscall : 435253    , total time : 55712400  , syscall name : sys_mkdirat, mm : -624 pages
time per syscall : 81658     , total time : 179648080 , syscall name : sys_unlinkat, mm : 9082 pages
time per syscall : 112792    , total time : 304314400 , syscall name : sys_openat, mm : -4406 pages
time per syscall : 6631      , total time : 222273280 , syscall name : sys_close, mm : -1103 pages
time per syscall : 19695     , total time : 9768880   , syscall name : sys_pipe2, mm : -496 pages
time per syscall : 8593      , total time : 223440    , syscall name : sys_lseek, mm : 0 pages
time per syscall : 373003    , total time : 71395841680, syscall name : sys_read, mm : -329966 pages
time per syscall : 20041     , total time : 3864549600, syscall name : sys_write, mm : -4615 pages
time per syscall : 138971    , total time : 2918400   , syscall name : sys_writev, mm : 0 pages
time per syscall : 10408     , total time : 7069101760, syscall name : sys_pselect6, mm : -10215 pages
time per syscall : 669       , total time : 14720     , syscall name : sys_readlinkat, mm : 0 pages
time per syscall : 30736     , total time : 34639840  , syscall name : sys_fstatat, mm : -3 pages
time per syscall : 10806     , total time : 14761760  , syscall name : sys_fstat, mm : 0 pages
time per syscall : 4640      , total time : 4640      , syscall name : sys_fsync, mm : 0 pages
time per syscall : 0         , total time : 0         , syscall name : sys_exit, mm : 0 pages
time per syscall : 1478      , total time : 499840    , syscall name : sys_exit_group, mm : 63 pages
time per syscall : 7480      , total time : 14960     , syscall name : sys_set_tid_address, mm : 0 pages
time per syscall : 12722     , total time : 966880    , syscall name : sys_setitimer, mm : 10 pages
time per syscall : 5018      , total time : 6167360   , syscall name : sys_clock_gettime, mm : 0 pages
time per syscall : 3435      , total time : 11065040  , syscall name : sys_kill, mm : -565 pages
time per syscall : 7362      , total time : 18089680  , syscall name : sys_rt_sigaction, mm : 14 pages
time per syscall : 13889     , total time : 1013920   , syscall name : sys_rt_sigprocmask, mm : 0 pages
time per syscall : 11102     , total time : 6217280   , syscall name : sys_rt_sigreturn, mm : 0 pages
time per syscall : 10149     , total time : 233440    , syscall name : sys_uname, mm : 0 pages
time per syscall : 4933      , total time : 5456240   , syscall name : sys_getrusage, mm : 0 pages
time per syscall : 1148      , total time : 318160    , syscall name : sys_getpid, mm : 0 pages
time per syscall : 1076      , total time : 3336720   , syscall name : sys_getppid, mm : 0 pages
time per syscall : 4320      , total time : 4320      , syscall name : sys_getuid, mm : 0 pages
time per syscall : 2250      , total time : 54000     , syscall name : sys_gettid, mm : 0 pages
time per syscall : 0         , total time : 0         , syscall name : sys_shutdown, mm : 0 pages
time per syscall : 177175    , total time : 16122960  , syscall name : sys_brk, mm : -750 pages
time per syscall : 64201     , total time : 38264000  , syscall name : sys_munmap, mm : 5113 pages
time per syscall : 4307896   , total time : 1473300720, syscall name : sys_clone, mm : -33759 pages
time per syscall : 14960013  , total time : 777920720 , syscall name : sys_execve, mm : -6832 pages
time per syscall : 15014     , total time : 8948640   , syscall name : sys_mmap, mm : 0 pages
time per syscall : 16574     , total time : 364640    , syscall name : sys_mprotect, mm : 0 pages
time per syscall : 148       , total time : 74000     , syscall name : sys_msync, mm : 0 pages
time per syscall : 103803635 , total time : 38199737680, syscall name : sys_wait4, mm : 58064 pages
time per syscall : 18140     , total time : 362800    , syscall name : sys_prlimit64, mm : 0 pages
time per syscall : 860560    , total time : 860560    , syscall name : sys_print_vma, mm : 0 pages



libc-bench:
